epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53854,2.23365,5.53728,1.53357,0,0,0,0,1.66317,5.41031,1.03428,1.39e-06,1.39e-06,1.39e-06
2,4.50067,2.07786,5.47438,1.563,0,0,0,0,1.65452,5.40253,1.02929,4.08743e-06,4.08743e-06,4.08743e-06
3,5.35437,2.03883,5.42579,1.43332,0,0,0,0,1.65121,5.40489,1.02932,6.67478e-06,6.67478e-06,6.67478e-06
4,6.18846,1.84433,5.299,1.54115,0,0,0,0,1.65946,5.39714,1.02887,9.15204e-06,9.15204e-06,9.15204e-06
5,7.03774,2.25035,5.36029,1.68251,0,0,0,0,1.65729,5.39152,1.02234,1.15192e-05,1.15192e-05,1.15192e-05
6,7.88523,2.2747,5.33488,1.74961,0,0,0,0,1.67777,5.38711,1.0178,1.37763e-05,1.37763e-05,1.37763e-05
7,8.75816,1.95964,5.33431,1.48835,0,0,0,0,1.69597,5.39048,1.01334,1.59233e-05,1.59233e-05,1.59233e-05
8,9.57237,1.90231,5.43749,1.50891,0,0,0,0,1.69383,5.38854,1.00761,1.79602e-05,1.79602e-05,1.79602e-05
9,10.3734,1.84396,5.29235,1.51208,0,0,0,0,1.68494,5.38436,1.00596,1.9887e-05,1.9887e-05,1.9887e-05
10,11.1853,2.01703,5.21518,1.7268,0,0,0,0,1.68171,5.38614,1.0022,2.17037e-05,2.17037e-05,2.17037e-05
11,11.983,1.86836,5.25669,1.55775,0,0,0,0,1.66954,5.39205,0.98918,2.34104e-05,2.34104e-05,2.34104e-05
12,12.8174,1.92184,5.45859,1.4114,0,0,0,0,1.68307,5.39225,0.98803,2.50069e-05,2.50069e-05,2.50069e-05
13,13.6207,1.95338,5.31,1.5069,0,0,0,0,1.68864,5.39391,0.97666,2.64934e-05,2.64934e-05,2.64934e-05
