epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.13101,2.23365,5.53728,1.53357,0,0,0,0,1.66317,5.41031,1.03428,1.39e-06,1.39e-06,1.39e-06
2,4.2217,2.07786,5.47438,1.563,0,0,0,0,1.6537,5.40367,1.02929,4.16174e-06,4.16174e-06,4.16174e-06
3,5.18428,2.03779,5.42542,1.4333,0,0,0,0,1.65184,5.40453,1.0311,6.92248e-06,6.92248e-06,6.92248e-06
4,6.13733,1.84572,5.29821,1.54105,0,0,0,0,1.65303,5.394,1.02676,9.6722e-06,9.6722e-06,9.6722e-06
5,6.99909,2.24884,5.3609,1.68159,0,0,0,0,1.66209,5.39197,1.02316,1.24109e-05,1.24109e-05,1.24109e-05
6,7.88465,2.26533,5.33598,1.74277,0,0,0,0,1.68138,5.38543,1.01733,1.51386e-05,1.51386e-05,1.51386e-05
7,8.72927,1.95636,5.32993,1.48476,0,0,0,0,1.70698,5.38904,1.01366,1.78553e-05,1.78553e-05,1.78553e-05
8,9.58045,1.89091,5.4336,1.50252,0,0,0,0,1.68585,5.38508,1.00132,2.0561e-05,2.0561e-05,2.0561e-05
9,10.4114,1.82399,5.29321,1.49894,0,0,0,0,1.68514,5.38623,1.00256,2.32557e-05,2.32557e-05,2.32557e-05
10,11.2119,1.99725,5.20722,1.70684,0,0,0,0,1.68109,5.39212,0.99673,2.59394e-05,2.59394e-05,2.59394e-05
11,12.098,1.85431,5.2472,1.54529,0,0,0,0,1.66167,5.39448,0.97914,2.8612e-05,2.8612e-05,2.8612e-05
12,12.9986,1.88817,5.458,1.38568,0,0,0,0,1.6511,5.38391,0.96455,3.12737e-05,3.12737e-05,3.12737e-05
13,13.8515,1.9284,5.2993,1.48129,0,0,0,0,1.65379,5.38679,0.9562,3.39243e-05,3.39243e-05,3.39243e-05
14,14.6693,1.8878,5.18589,1.53421,0,0,0,0,1.67524,5.38933,0.97544,3.6564e-05,3.6564e-05,3.6564e-05
15,15.4671,1.96647,5.26174,1.5849,0,0,0,0,1.68522,5.39459,0.97577,3.91926e-05,3.91926e-05,3.91926e-05
16,16.2314,1.68669,5.27199,1.40062,0,0,0,0,1.70668,5.39449,0.98405,4.18102e-05,4.18102e-05,4.18102e-05
17,17.032,1.76733,5.22326,1.43663,0,0,0,0,1.71364,5.40261,0.99293,4.44168e-05,4.44168e-05,4.44168e-05
18,17.8527,1.8883,5.23824,1.48665,0,0,0,0,1.69866,5.40083,0.99117,4.70124e-05,4.70124e-05,4.70124e-05
19,18.7169,1.79667,5.32375,1.38028,0,0,0,0,1.68004,5.40629,0.99572,4.9597e-05,4.9597e-05,4.9597e-05
20,19.6037,1.6313,5.27577,1.31379,0,0,0,0,1.67598,5.40248,1.00277,5.21706e-05,5.21706e-05,5.21706e-05
21,20.4553,1.70544,5.30344,1.39028,0,0,0,0,1.64896,5.39672,1.00443,5.47332e-05,5.47332e-05,5.47332e-05
22,21.2985,1.68292,5.21023,1.35848,0,0,0,0,1.64455,5.3954,1.00165,5.72848e-05,5.72848e-05,5.72848e-05
23,22.1646,1.76736,5.27343,1.31835,0,0,0,0,1.62093,5.40311,1.00289,5.98253e-05,5.98253e-05,5.98253e-05
24,23.0337,1.67827,5.19441,1.33777,0,0,0,0,1.62715,5.42193,1.01028,6.23549e-05,6.23549e-05,6.23549e-05
25,23.8411,1.66781,5.09274,1.44324,0,0,0,0,1.61904,5.42685,1.0101,6.48734e-05,6.48734e-05,6.48734e-05
26,24.711,1.66849,5.21053,1.33385,0,0,0,0,1.62367,5.42362,1.00495,6.73809e-05,6.73809e-05,6.73809e-05
27,25.5842,1.67954,5.10387,1.4433,0,0,0,0,1.606,5.41328,1.00448,6.98775e-05,6.98775e-05,6.98775e-05
28,26.4695,1.55146,5.13523,1.3521,0,0,0,0,1.606,5.41328,1.00448,7.2363e-05,7.2363e-05,7.2363e-05
29,27.2983,1.66126,5.14417,1.3762,0,0,0,0,1.56945,5.40534,0.99753,7.48375e-05,7.48375e-05,7.48375e-05
30,28.0949,1.55917,5.03765,1.39485,0,0,0,0,1.5366,5.38709,0.99193,7.7301e-05,7.7301e-05,7.7301e-05
31,28.8833,1.57535,5.19382,1.31527,0,0,0,0,1.5366,5.38709,0.99193,7.97535e-05,7.97535e-05,7.97535e-05
32,29.7357,1.58712,4.98195,1.37708,0,0,0,0,1.51445,5.37758,0.98732,8.2195e-05,8.2195e-05,8.2195e-05
33,30.5845,1.60538,5.114,1.31187,0,0,0,0,1.49394,5.35643,0.98144,8.46254e-05,8.46254e-05,8.46254e-05
34,31.3625,1.44447,5.0158,1.30365,0,0,0,0,1.49394,5.35643,0.98144,8.70449e-05,8.70449e-05,8.70449e-05
35,32.1713,1.5663,5.12842,1.26411,0,0,0,0,1.4758,5.34577,0.9626,8.94533e-05,8.94533e-05,8.94533e-05
36,32.9952,1.356,4.9813,1.22158,0,0,0,0,1.45017,5.33246,0.95602,9.18508e-05,9.18508e-05,9.18508e-05
37,34.3034,1.53695,5.06992,1.27952,0,0,0,0,1.45017,5.33246,0.95602,9.42372e-05,9.42372e-05,9.42372e-05
38,35.1628,1.55767,5.05236,1.29526,0,0,0,0,1.43482,5.31116,0.96279,9.66126e-05,9.66126e-05,9.66126e-05
39,36.0652,1.57986,5.03449,1.30466,0,0,0,0,1.44965,5.30239,0.95843,9.89771e-05,9.89771e-05,9.89771e-05
40,36.8623,1.47862,4.95195,1.27423,0,0,0,0,1.44965,5.30239,0.95843,0.00010133,0.00010133,0.00010133
41,37.665,1.45388,4.991,1.21616,0,0,0,0,1.47921,5.27173,0.97026,0.000103673,0.000103673,0.000103673
42,38.5323,1.71603,4.98486,1.46319,0,0,0,0,1.47921,5.25233,0.98117,0.000106004,0.000106004,0.000106004
43,39.4343,1.47427,4.94696,1.21445,0,0,0,0,1.47921,5.25233,0.98117,0.000108325,0.000108325,0.000108325
44,40.2831,1.54079,4.9331,1.3306,0.04167,0.04167,0.04146,0.03317,1.48453,5.22892,0.98651,0.000110634,0.000110634,0.000110634
45,41.0717,1.43504,4.84207,1.27354,0.04167,0.04167,0.04146,0.03317,1.48453,5.22892,0.98651,0.000112932,0.000112932,0.000112932
46,41.9402,1.31396,4.82693,1.18439,0.04167,0.04167,0.04146,0.03731,1.49892,5.20849,0.98706,0.00011522,0.00011522,0.00011522
47,42.7864,1.42311,4.82624,1.26796,0.04167,0.04167,0.04146,0.03731,1.49892,5.20849,0.98706,0.000117496,0.000117496,0.000117496
48,43.6876,1.54218,4.9418,1.27879,0.04167,0.04167,0.04146,0.03731,1.50637,5.18483,0.99286,0.000119761,0.000119761,0.000119761
49,44.5027,1.54149,4.98236,1.23587,0.04167,0.04167,0.04146,0.03731,1.50637,5.18483,0.99286,0.000122016,0.000122016,0.000122016
50,45.3787,1.45501,4.96854,1.19215,0.01389,0.04167,0.04146,0.03317,1.52459,5.15499,0.99913,0.000124259,0.000124259,0.000124259
51,46.3181,1.57323,4.90003,1.20487,0.01389,0.04167,0.04146,0.03317,1.52459,5.15499,0.99913,0.000125239,0.000125239,0.000125239
52,47.1208,1.60768,4.86337,1.36953,0.01042,0.04167,0.04146,0.03317,1.5557,5.1265,1.00219,0.000124964,0.000124964,0.000124964
53,47.9372,1.48457,4.91377,1.20588,0.01042,0.04167,0.04146,0.03317,1.5557,5.1265,1.00219,0.000124689,0.000124689,0.000124689
54,48.7434,1.38229,4.78616,1.15795,0.56852,0.04167,0.04146,0.03317,1.57465,5.09775,1.0033,0.000124413,0.000124413,0.000124413
55,49.6053,1.4976,4.73515,1.30701,0.56852,0.04167,0.04146,0.03317,1.57465,5.09775,1.0033,0.000124138,0.000124138,0.000124138
56,50.4123,1.50053,4.79558,1.21603,0.57831,0.04167,0.04146,0.03317,1.55818,5.05484,0.99922,0.000123863,0.000123863,0.000123863
57,51.2306,1.36773,4.73464,1.20936,0.57831,0.04167,0.04146,0.03317,1.55818,5.05484,0.99922,0.000123588,0.000123588,0.000123588
58,52.1026,1.32496,4.7302,1.14802,0.5809,0.04167,0.04146,0.03317,1.57533,5.00849,1.00598,0.000123312,0.000123312,0.000123312
59,52.9777,1.31181,4.62647,1.16693,0.5809,0.04167,0.04146,0.03317,1.57533,5.00849,1.00598,0.000123037,0.000123037,0.000123037
60,53.8699,1.30019,4.68051,1.16788,0.62333,0.04167,0.04146,0.03731,1.5614,4.9594,1.00469,0.000122762,0.000122762,0.000122762
61,54.6338,1.33683,4.65916,1.18822,0.62333,0.04167,0.04146,0.03731,1.5614,4.9594,1.00469,0.000122487,0.000122487,0.000122487
62,55.5239,1.5147,4.8087,1.16038,0.70705,0.04167,0.0456,0.04104,1.55128,4.90667,0.99918,0.000122212,0.000122212,0.000122212
63,56.3668,1.4713,4.6116,1.30752,0.70705,0.04167,0.0456,0.04104,1.55128,4.90667,0.99918,0.000121936,0.000121936,0.000121936
64,57.2265,1.37735,4.54015,1.2316,0.70713,0.04167,0.04606,0.04146,1.55851,4.8561,0.99571,0.000121661,0.000121661,0.000121661
65,58.0537,1.50262,4.59091,1.27355,0.70713,0.04167,0.04606,0.04146,1.55851,4.8561,0.99571,0.000121386,0.000121386,0.000121386
66,58.9596,1.37399,4.67129,1.21966,0.74882,0.04167,0.05289,0.04448,1.56462,4.82038,0.99753,0.000121111,0.000121111,0.000121111
67,59.7699,1.31729,4.55342,1.13594,0.74882,0.04167,0.05289,0.04448,1.56462,4.82038,0.99753,0.000120835,0.000120835,0.000120835
68,60.6589,1.40971,4.62815,1.14826,0.74881,0.04167,0.0553,0.04561,1.58419,4.80001,0.99672,0.00012056,0.00012056,0.00012056
69,61.5448,1.32303,4.6078,1.12704,0.74881,0.04167,0.0553,0.04561,1.58419,4.80001,0.99672,0.000120285,0.000120285,0.000120285
70,62.4467,1.27745,4.51919,1.13797,0.74867,0.04167,0.0584,0.0474,1.5805,4.77724,0.9978,0.00012001,0.00012001,0.00012001
71,63.3024,1.32777,4.46319,1.15702,0.74867,0.04167,0.0584,0.0474,1.5805,4.77724,0.9978,0.000119735,0.000119735,0.000119735
72,64.1734,1.37801,4.44992,1.18141,0.70675,0.04167,0.06219,0.04892,1.59083,4.75609,0.99386,0.000119459,0.000119459,0.000119459
73,65.0404,1.28562,4.22818,1.2183,0.70675,0.04167,0.06219,0.04892,1.59083,4.75609,0.99386,0.000119184,0.000119184,0.000119184
74,65.9239,1.37877,4.47331,1.18107,0.70619,0.04167,0.07803,0.05747,1.574,4.71929,0.98737,0.000118909,0.000118909,0.000118909
75,66.9183,1.32772,4.26297,1.22552,0.70619,0.04167,0.07803,0.05747,1.574,4.71929,0.98737,0.000118634,0.000118634,0.000118634
76,67.8271,1.39232,4.43188,1.20934,0.66333,0.04167,0.08458,0.06493,1.54409,4.69544,0.97395,0.000118359,0.000118359,0.000118359
77,68.6674,1.35526,4.34018,1.22276,0.66333,0.04167,0.08458,0.06493,1.54409,4.69544,0.97395,0.000118083,0.000118083,0.000118083
78,69.5645,1.29566,4.43353,1.13317,0.65956,0.04167,0.10506,0.08348,1.53801,4.67243,0.96911,0.000117808,0.000117808,0.000117808
79,70.5091,1.32827,4.34169,1.18499,0.65956,0.04167,0.10506,0.08348,1.53801,4.67243,0.96911,0.000117533,0.000117533,0.000117533
80,71.377,1.19161,4.19387,1.14195,0.03819,0.14583,0.12604,0.09809,1.53092,4.64405,0.97308,0.000117258,0.000117258,0.000117258
81,72.2744,1.36885,4.35154,1.26526,0.03819,0.14583,0.12604,0.09809,1.53092,4.64405,0.97308,0.000116982,0.000116982,0.000116982
82,73.1428,1.37182,4.41796,1.13739,0.05794,0.14583,0.14652,0.11665,1.51222,4.61634,0.9708,0.000116707,0.000116707,0.000116707
83,73.995,1.42425,4.38658,1.19843,0.05794,0.14583,0.14652,0.11665,1.51222,4.61634,0.9708,0.000116432,0.000116432,0.000116432
84,74.9099,1.41522,4.33121,1.09637,0.05893,0.14583,0.14677,0.11675,1.52483,4.58222,0.97032,0.000116157,0.000116157,0.000116157
85,75.7228,1.31883,4.17936,1.18982,0.05893,0.14583,0.14677,0.11675,1.52483,4.58222,0.97032,0.000115882,0.000115882,0.000115882
86,76.6576,1.30367,4.23003,1.15496,0.03653,0.14583,0.14677,0.1209,1.54806,4.55671,0.96593,0.000115606,0.000115606,0.000115606
87,77.6393,1.32308,4.10794,1.20817,0.03653,0.14583,0.14677,0.1209,1.54806,4.55671,0.96593,0.000115331,0.000115331,0.000115331
88,78.7826,1.38777,4.13386,1.1979,0.03986,0.1875,0.15225,0.12486,1.56394,4.53193,0.96857,0.000115056,0.000115056,0.000115056
89,79.642,1.28729,4.06446,1.16175,0.03986,0.1875,0.15225,0.12486,1.56394,4.53193,0.96857,0.000114781,0.000114781,0.000114781
90,80.6125,1.30388,4.27652,1.11734,0.05385,0.22917,0.19455,0.15037,1.54915,4.4992,0.96053,0.000114505,0.000114505,0.000114505
91,81.5086,1.29271,4.26198,1.10462,0.05385,0.22917,0.19455,0.15037,1.54915,4.4992,0.96053,0.00011423,0.00011423,0.00011423
92,82.4303,1.40919,4.25307,1.30458,0.06268,0.25,0.20996,0.15708,1.52125,4.47835,0.95209,0.000113955,0.000113955,0.000113955
93,83.2832,1.45347,4.22675,1.22656,0.06268,0.25,0.20996,0.15708,1.52125,4.47835,0.95209,0.00011368,0.00011368,0.00011368
